filename,frame,cluster,dist_to_centroid
107healthy.npy,3,0,159.89728090192585
107healthy.npy,4,0,180.10285396027882
107healthy.npy,5,0,171.8703984437188
107healthy.npy,6,0,135.32132683306455
107healthy.npy,7,0,156.45405408247646
107healthy.npy,8,1,142.80318180679873
107healthy.npy,9,1,119.77215429770766
108healthy.npy,0,2,75.09206818376059
108healthy.npy,1,2,95.75633551753904
108healthy.npy,2,0,136.46629902870768
108healthy.npy,3,0,136.95033622703625
108healthy.npy,4,0,144.96995565247934
108healthy.npy,5,0,134.05569112711925
108healthy.npy,6,0,148.9125728289441
108healthy.npy,7,2,139.5958450293925
108healthy.npy,8,2,134.0485827658935
108healthy.npy,9,2,84.23813593105764
109healthy.npy,0,2,154.67994680980226
109healthy.npy,1,2,156.8505771289224
109healthy.npy,2,0,156.0251648355562
109healthy.npy,3,0,115.55580665686173
109healthy.npy,4,0,109.62559226605516
109healthy.npy,5,0,116.0047919692499
109healthy.npy,6,0,147.5389616201068
109healthy.npy,7,2,161.36433411646567
109healthy.npy,8,2,159.22221377015012
109healthy.npy,9,2,148.19303119066223
10pMI.npy,0,2,237.03442328770302
10pMI.npy,1,2,223.91866167905872
10pMI.npy,2,2,145.55686772359135
10pMI.npy,3,2,94.2916771253568
10pMI.npy,4,2,94.87516551721633
10pMI.npy,5,2,99.1980125299165
10pMI.npy,6,2,134.05008588662034
10pMI.npy,7,2,171.1377882742658
10pMI.npy,8,2,198.39118002417393
10pMI.npy,9,2,230.8938998962671
110pMI.npy,0,1,247.10931567856306
110pMI.npy,1,1,204.08665397104957
110pMI.npy,2,1,148.2624149381747
110pMI.npy,3,1,120.6108950699941
110pMI.npy,4,1,127.69345270043833
110pMI.npy,5,1,158.44395506441805
110pMI.npy,6,1,183.14550128376865
110pMI.npy,7,1,162.69044390000886
110pMI.npy,8,1,188.78364776656852
110pMI.npy,9,1,198.25826163933198
111healthy.npy,0,0,151.97115486914382
111healthy.npy,1,0,133.12165734783233
111healthy.npy,2,0,116.89653983243646
111healthy.npy,3,0,130.0497706292723
111healthy.npy,4,0,134.23121885891328
111healthy.npy,5,0,130.17866087628954
111healthy.npy,6,0,122.41265716361406
111healthy.npy,7,0,124.40127376508104
111healthy.npy,8,0,119.56926570245287
111healthy.npy,9,0,137.8532241928527
112pMI.npy,0,1,158.6723564767607
112pMI.npy,1,1,145.36060286547854
112pMI.npy,2,1,172.32452257666688
112pMI.npy,3,1,181.81901369590236
112pMI.npy,4,1,177.2505575119057
112pMI.npy,5,1,176.07148347780605
112pMI.npy,6,1,144.44217695262773
112pMI.npy,7,1,145.95783752845185
112pMI.npy,8,1,151.68471950367467
112pMI.npy,9,1,155.8307649353464
113pMI.npy,0,3,192.47644753905874
113pMI.npy,1,3,187.1906689988107
